,BR,BV,ED,H3,HA,HC,HW,L4,LN,NP,O2,RS,SM,T3,V4
,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
Date,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3
1/1/15 0:00,2.2,22.6,,,26.8,4.8,,19.2,23.9,19.2,14.9,10,,8.3,
1/1/15 1:00,3.9,18.7,,,31.7,4.7,,22.7,28.1,21.7,24.2,12,,4.9,
1/1/15 2:00,3.2,14.1,,,29.8,4.9,,23.9,25.8,19.3,12.2,12,,2.9,
1/1/15 3:00,2.4,12.8,,,23.3,7,,29.5,17.6,15.1,10.5,10.4,,3.5,
1/1/15 4:00,1.4,14,,,24.9,3.8,,17.3,14.4,12.8,13.9,10,,2.1,
1/1/15 5:00,1.4,14.2,,,22.5,3.8,,12,14.1,11.2,10.7,9.9,,3.7,
1/1/15 6:00,0.9,15,,,19.6,4.1,,11,9,9.8,9,9.2,,5.8,
1/1/15 7:00,0.6,17.8,,,21.5,4,,11.1,12.4,9.8,9.3,9.3,,6,
1/1/15 8:00,4.2,14.6,,,21.1,4.9,,11.1,9.9,9.2,10,9.9,,6.7,
1/1/15 9:00,1.7,17.9,,,18.5,5.1,,11.9,11.9,10.5,10.4,9.9,,7.1,
1/1/15 10:00,6.1,5.8,,,15.1,4,,10.9,8.7,13,8.1,10.1,,6.3,
1/1/15 11:00,6.8,3.4,,,12.9,4.1,,10.6,8.4,10.4,6.4,9.8,,4.7,
1/1/15 12:00,5,4.9,,,11.9,4.3,,10.4,8.8,11.3,7.6,9.6,,3.7,
1/1/15 13:00,1.9,5.7,,,10.6,3.9,,12.3,8,10.8,7.8,9.4,,3.5,
1/1/15 14:00,2.3,4.5,,,10,3.6,,13.6,8,7.9,8,8.7,,6.7,
1/1/15 15:00,7.1,4.2,,,10,3.2,,12.6,9.8,7.4,12.2,8.1,,6.7,
1/1/15 16:00,6.3,5.1,,,10.1,3.3,,10.9,10.8,8.5,16.9,7.8,,6.7,
1/1/15 17:00,8.9,7.6,,,12,3.7,,11,11.7,10.2,17.3,8.1,,8.9,
1/1/15 18:00,6.8,9.8,,,14.1,4.2,,11.4,15.8,9.8,17.8,8.8,,10.8,
1/1/15 19:00,5.2,11,,,15.5,4.5,,15.1,16.4,12.4,21.8,10.5,,13.7,
1/1/15 20:00,6.1,13.1,,,16.8,9,,17.7,17.2,17.3,27,9.9,,8.8,
1/1/15 21:00,8.1,16.1,,,18,11.2,,19.1,21.3,18.8,29.7,12,,5.8,
1/1/15 22:00,12,16.3,,,14.8,9,,19.6,19.3,19.4,22.1,13.2,,10.7,
1/1/15 23:00,16.2,20.1,,,17.9,6.4,,22.4,23.2,17.7,20.8,15,,7.1,
1/2/15 0:00,17.3,17.7,,,19.7,10.1,,19.3,20.3,14.8,15.4,18.5,,7,
1/2/15 1:00,9,15.7,,,22.5,8.1,,17.5,15.5,13.3,16.3,14.8,,4.9,
1/2/15 2:00,7.9,12.3,,,20.9,8.2,,15.8,14.4,15.2,16.5,13.5,,4.9,
1/2/15 3:00,12.7,10.9,,,17.4,10,,16.4,15.5,12.5,12.3,13.5,,6.2,
1/2/15 4:00,14.6,14.5,,,17.4,8.9,,16.4,15.4,10.4,14.1,14,,4.4,
1/2/15 5:00,8.7,10.4,,,18.1,8.1,,16.8,11.7,9.3,17.5,14.9,,5.5,
1/2/15 6:00,15.1,10.9,,,17,8.3,,16.1,14.2,10.2,17.6,16.3,,6.1,
1/2/15 7:00,16.1,12.5,,,19,11.8,,16.2,17.6,12,16.2,16.2,,8.5,
1/2/15 8:00,14,14.5,,,18.6,11.1,,17.8,15.8,11.1,19.9,17,,12.1,
1/2/15 9:00,13.6,18.9,,,19.7,7,,20.2,15.1,10.9,16.9,17.4,,12,
1/2/15 10:00,15.3,20.6,,,20.1,5.3,,17.7,18.5,11,17.8,15,,6.5,
1/2/15 11:00,19.2,18.2,,,21.1,4.8,,24.4,20.5,12.2,18,14.4,,4.9,
1/2/15 12:00,20.7,16.4,,,20.9,4.4,,20.7,19.3,10.2,16.2,12.8,,6.7,
1/2/15 13:00,16.6,17.9,,,23.7,3.7,,17.1,17.8,11.7,17.8,11.9,,9.4,
1/2/15 14:00,21,17.9,,,24.2,3.8,,20.6,15.5,14,22.1,11.9,,9,
1/2/15 15:00,16.8,19.2,,,23.8,3.6,,18.7,16.4,15.8,24.8,11.7,,6.7,
1/2/15 16:00,16.9,19.4,,,24.1,4.1,,21.8,17.9,14.6,25,11.4,,7.9,
1/2/15 17:00,14.9,22.8,,,24.8,5.9,,17.1,16.9,15.5,26.1,11.6,,10.2,
1/2/15 18:00,15.6,25.4,,,24.8,8.4,,16.4,20.3,14.5,27.3,12.2,,15.2,
1/2/15 19:00,16.6,26.4,,,28.6,9.3,,20.6,22.2,13.1,30.2,14.3,,16.2,
1/2/15 20:00,16.6,26.7,,,26.9,6.9,,24.4,25.9,16.5,36,14.6,,16.7,
1/2/15 21:00,19.3,28.1,,,30.7,5.7,,22,28.8,20.9,36.9,14.5,,13.7,
1/2/15 22:00,22.9,27.4,,,28.6,5.4,,17.7,24.3,22.4,36.3,18.7,,14.9,
1/2/15 23:00,19.2,28.8,,,26.7,6.4,,21.9,26.6,24.2,34,17.8,,8.7,
1/3/15 0:00,27,29,,,26,6.4,,23.8,27.7,27.4,34.8,16.4,,7.8,
