AnalysisType,NumNeighbors,NumPoints,NumDimensions,TimeMicroSeconds
Bucket,10,1000,2,8.24292
KD,10,1000,2,2.9627
Quad,10,1000,2,3.65085
Bucket,10,2000,2,8.50384
KD,10,2000,2,2.92002
Quad,10,2000,2,3.18258
Bucket,10,3000,2,9.35466
KD,10,3000,2,3.84359
Quad,10,3000,2,4.09558
Bucket,10,4000,2,12.0621
KD,10,4000,2,6.3042
Quad,10,4000,2,5.92116
Bucket,10,5000,2,18.0654
KD,10,5000,2,8.00446
Quad,10,5000,2,7.53307
Bucket,10,6000,2,16.0093
KD,10,6000,2,7.71176
Quad,10,6000,2,6.9322
Bucket,10,7000,2,14.1567
KD,10,7000,2,8.30627
Quad,10,7000,2,7.80504
Bucket,10,8000,2,16.8664
KD,10,8000,2,5.31321
Quad,10,8000,2,2.83889
Bucket,10,9000,2,8.06781
KD,10,9000,2,4.305
Quad,10,9000,2,3.68159
Bucket,10,10000,2,8.57029
KD,10,10000,2,3.16858
Quad,10,10000,2,3.21232
Bucket,20,1000,2,17.411
KD,20,1000,2,5.46804
Quad,20,1000,2,5.37265
Bucket,20,2000,2,20.5292
KD,20,2000,2,5.40596
Quad,20,2000,2,4.97933
Bucket,20,3000,2,20.2432
KD,20,3000,2,6.8952
Quad,20,3000,2,5.82211
Bucket,20,4000,2,12.2973
KD,20,4000,2,4.09782
Quad,20,4000,2,5.3809
Bucket,20,5000,2,18.7699
KD,20,5000,2,5.59813
Quad,20,5000,2,9.90457
Bucket,20,6000,2,32.7639
KD,20,6000,2,9.93802
Quad,20,6000,2,9.77216
Bucket,20,7000,2,30.4588
KD,20,7000,2,7.18571
Quad,20,7000,2,8.85361
Bucket,20,8000,2,30.8952
KD,20,8000,2,9.83417
Quad,20,8000,2,6.79926
Bucket,20,9000,2,21.2003
KD,20,9000,2,10.0952
Quad,20,9000,2,8.70962
Bucket,20,10000,2,26.171
KD,20,10000,2,10.5223
Quad,20,10000,2,9.17488
Bucket,30,1000,2,30.2212
KD,30,1000,2,10.5205
Quad,30,1000,2,9.19582
Bucket,30,2000,2,29.683
KD,30,2000,2,6.66566
Quad,30,2000,2,8.00804
Bucket,30,3000,2,37.1884
KD,30,3000,2,10.2702
Quad,30,3000,2,6.13486
Bucket,30,4000,2,20.246
KD,30,4000,2,4.89602
Quad,30,4000,2,4.14799
Bucket,30,5000,2,18.3324
KD,30,5000,2,5.92974
Quad,30,5000,2,4.30097
Bucket,30,6000,2,16.8819
KD,30,6000,2,5.11157
Quad,30,6000,2,4.9129
Bucket,30,7000,2,27.6615
KD,30,7000,2,10.2046
Quad,30,7000,2,9.45582
Bucket,30,8000,2,42.5541
KD,30,8000,2,9.99039
Quad,30,8000,2,6.39444
Bucket,30,9000,2,15.5064
KD,30,9000,2,4.66608
Quad,30,9000,2,4.15885
Bucket,30,10000,2,17.8519
KD,30,10000,2,5.08854
Quad,30,10000,2,4.30925
Bucket,40,1000,2,20.1335
KD,40,1000,2,5.22818
Quad,40,1000,2,4.58576
Bucket,40,2000,2,19.1562
KD,40,2000,2,4.95902
Quad,40,2000,2,4.34229
Bucket,40,3000,2,20.2239
KD,40,3000,2,5.01973
Quad,40,3000,2,5.78654
Bucket,40,4000,2,27.9455
KD,40,4000,2,6.87611
Quad,40,4000,2,4.71187
Bucket,40,5000,2,25.2857
KD,40,5000,2,5.60574
Quad,40,5000,2,5.28082
Bucket,40,6000,2,31.525
KD,40,6000,2,7.3538
Quad,40,6000,2,10.3375
Bucket,40,7000,2,38.6891
KD,40,7000,2,11.1958
Quad,40,7000,2,10.5991
Bucket,40,8000,2,38.6476
KD,40,8000,2,10.744
Quad,40,8000,2,10.2755
Bucket,40,9000,2,37.8173
KD,40,9000,2,6.93314
Quad,40,9000,2,10.49
Bucket,40,10000,2,27.1239
KD,40,10000,2,7.20732
Quad,40,10000,2,4.15682
Bucket,50,1000,2,23.9798
KD,50,1000,2,5.36737
Quad,50,1000,2,4.83594
Bucket,50,2000,2,20.9968
KD,50,2000,2,5.2166
Quad,50,2000,2,4.75188
Bucket,50,3000,2,22.2104
KD,50,3000,2,5.40276
Quad,50,3000,2,4.8894
Bucket,50,4000,2,24.1791
KD,50,4000,2,5.41571
Quad,50,4000,2,5.71794
Bucket,50,5000,2,30.6494
KD,50,5000,2,7.89163
Quad,50,5000,2,10.2573
Bucket,50,6000,2,51.4304
KD,50,6000,2,10.9421
Quad,50,6000,2,9.40099
Bucket,50,7000,2,47.3215
KD,50,7000,2,11.8337
Quad,50,7000,2,11.4931
Bucket,50,8000,2,42.931
KD,50,8000,2,5.99026
Quad,50,8000,2,10.1125
Bucket,50,9000,2,37.1179
KD,50,9000,2,11.2312
Quad,50,9000,2,13.5906
Bucket,50,10000,2,28.8727
KD,50,10000,2,12.6109
Quad,50,10000,2,4.39595
Bucket,60,1000,2,26.3112
